Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24,Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,Tm,RA/G,Ptn%,HR%,SO%,BB%,SO-BB%,XBH%,X/H%,GB/FB,GO/AO,IP%,LD%,HR/FB,IF/FB,Opp,DP,%,PAu,year
Toronto Blue Jays,39,28.0,5.11,67,95,.414,4.79,162,162,161,1,7,0,33,1440.1,1450,828,767,228,604,25,1332,69,6,70,6313,95,4.82,1.426,9.1,1.4,3.8,8.3,2.21,1164,Toronto Blue Jays,.259,.337,.451,.788,.301,3.6%,21.1%,9.6%,89.2,41.2%,25.0%,43.1%,22.9%,0.77,-3.8,0.5%,-47.5,Toronto Blue Jays,5.11,,162,6313,5590,828,1450,340,23,228,74,36,604,1332,.259,.337,.451,.788,.301,2520,111,69,11,36,25,54,Toronto Blue Jays,5.11,50%,3.6%,21.1%,9.6%,11.5%,9.4%,41%,0.77,1.01,64%,25%,10.9%,13%,1163,111,10%,0,2019
Washington Nationals,31,30.8,4.47,93,69,.574,4.27,162,162,161,1,13,1,40,1439.1,1340,724,683,202,517,41,1511,61,5,53,6134,106,4.14,1.290,8.4,1.3,3.2,9.4,2.92,1092,Washington Nationals,.244,.314,.412,.726,.298,3.3%,24.6%,8.4%,89.1,39.6%,25.2%,42.1%,24.5%,0.75,3.2,1.1%,43.4,Washington Nationals,4.47,,162,6134,5491,724,1340,281,18,202,86,24,517,1511,.244,.314,.412,.726,.298,2263,98,61,27,37,41,49,Washington Nationals,4.47,48%,3.3%,24.6%,8.4%,16.2%,8.2%,37%,0.75,1.03,62%,25%,10.0%,11%,1059,98,9%,0,2019
Arizona Diamondbacks,41,28.5,5.51,52,110,.321,5.11,162,162,159,3,4,3,22,1417.1,1480,893,804,232,555,45,1238,75,7,43,6270,83,4.88,1.436,9.4,1.5,3.5,7.9,2.23,1146,Arizona Diamondbacks,.267,.339,.468,.807,.303,3.7%,19.7%,8.9%,88.2,39.6%,24.2%,39.8%,27.4%,0.68,-18.5,-2.1%,-162.5,Arizona Diamondbacks,5.51,,162,6270,5546,893,1480,327,45,232,73,29,555,1238,.267,.339,.468,.807,.303,2593,97,75,44,47,45,51,Arizona Diamondbacks,5.51,48%,3.7%,19.7%,8.9%,10.9%,9.6%,41%,0.68,0.90,66%,24%,10.3%,13%,1205,97,8%,0,2021
Atlanta Braves,30,29.5,4.07,88,73,.547,3.88,161,161,159,2,18,2,40,1410.2,1237,656,608,183,516,34,1417,66,8,73,5944,112,4.09,1.243,7.9,1.2,3.3,9.0,2.75,1074,Atlanta Braves,.234,.308,.392,.700,.283,3.1%,23.8%,8.7%,87.8,38.7%,24.1%,43.3%,24.5%,0.79,7.3,5.6%,85.9,Atlanta Braves,4.07,,161,5944,5279,656,1237,243,21,183,74,23,516,1417,.234,.308,.392,.700,.283,2071,99,66,39,42,34,27,Atlanta Braves,4.07,45%,3.1%,23.8%,8.7%,15.2%,7.5%,36%,0.79,1.10,63%,24%,9.7%,12%,1073,99,9%,0,2021
Baltimore Orioles,42,28.1,5.90,52,110,.321,5.84,162,162,161,1,5,1,26,1402.0,1518,956,910,258,563,12,1234,68,7,88,6252,77,5.15,1.484,9.7,1.7,3.6,7.9,2.19,1103,Baltimore Orioles,.273,.344,.473,.817,.306,4.1%,19.7%,9.0%,89.5,41.4%,24.5%,39.8%,27.0%,0.67,-16.9,-0.2%,-217.5,Baltimore Orioles,5.90,,162,6252,5562,956,1518,291,24,258,53,27,563,1234,.273,.344,.473,.817,.306,2631,89,68,13,46,12,36,Baltimore Orioles,5.90,48%,4.1%,19.7%,9.0%,10.7%,9.2%,38%,0.67,0.87,66%,25%,11.5%,14%,1247,89,7%,0,2021
Boston Red Sox,37,29.7,4.62,92,70,.568,4.26,162,162,162,0,7,0,49,1419.0,1409,749,671,176,546,31,1527,79,6,63,6147,110,3.95,1.378,8.9,1.1,3.5,9.7,2.80,1163,Boston Red Sox,.258,.332,.417,.749,.324,2.9%,24.8%,8.9%,88.1,39.6%,23.4%,44.2%,24.3%,0.80,4.7,3.9%,27.1,Boston Red Sox,4.62,,162,6147,5470,749,1409,306,20,176,92,22,546,1527,.258,.332,.417,.749,.324,2283,120,79,12,40,31,46,Boston Red Sox,4.62,50%,2.9%,24.8%,8.9%,16.0%,8.2%,36%,0.80,1.05,62%,23%,9.3%,14%,1143,120,11%,0,2021
Chicago Cubs,40,29.4,5.18,71,91,.438,4.87,162,162,161,1,8,0,40,1412.2,1386,839,765,235,596,25,1358,98,4,60,6202,87,4.88,1.403,8.8,1.5,3.8,8.7,2.28,1143,Chicago Cubs,.255,.338,.442,.780,.297,3.8%,21.9%,9.6%,87.7,39.4%,24.0%,44.5%,24.2%,0.83,-6.2,2.6%,-110.8,Chicago Cubs,5.18,,162,6202,5431,839,1386,283,14,235,93,21,596,1358,.255,.338,.442,.780,.297,2402,129,98,37,36,25,51,Chicago Cubs,5.18,51%,3.8%,21.9%,9.6%,12.3%,8.6%,38%,0.83,1.20,62%,24%,11.8%,11%,1230,129,10%,0,2021
Chicago White Sox,27,28.3,3.93,93,69,.574,3.73,162,162,158,4,13,3,43,1403.1,1205,636,581,182,485,16,1588,51,6,84,5861,118,3.74,1.204,7.7,1.2,3.1,10.2,3.27,1029,Chicago White Sox,.229,.298,.381,.679,.289,3.1%,27.1%,8.3%,88.3,38.8%,23.1%,41.1%,26.7%,0.71,8.1,4.8%,107.1,Chicago White Sox,3.93,,162,5861,5260,636,1205,199,26,182,119,24,485,1588,.229,.298,.381,.679,.289,2002,100,51,15,44,16,37,Chicago White Sox,3.93,45%,3.1%,27.1%,8.3%,18.8%,6.9%,34%,0.71,0.90,60%,23%,9.9%,15%,1000,100,10%,0,2021
Cincinnati Reds,36,28.9,4.69,83,79,.512,4.40,162,162,161,1,8,1,41,1434.1,1330,760,702,206,617,30,1524,64,8,62,6199,107,4.34,1.357,8.3,1.3,3.9,9.6,2.47,1161,Cincinnati Reds,.244,.327,.417,.744,.300,3.3%,24.6%,10.0%,87.0,37.4%,23.1%,43.8%,24.5%,0.80,6.4,3.1%,22.3,Cincinnati Reds,4.69,,162,6199,5440,760,1330,261,30,206,77,25,617,1524,.244,.327,.417,.744,.300,2269,106,64,41,35,30,38,Cincinnati Reds,4.69,48%,3.3%,24.6%,10.0%,14.6%,8.0%,37%,0.80,1.09,60%,23%,10.9%,13%,1165,106,9%,0,2021
Cleveland Indians,25,26.3,4.49,80,82,.494,4.34,162,162,162,0,9,0,39,1408.0,1281,727,679,216,522,12,1391,59,8,52,5968,99,4.43,1.281,8.2,1.4,3.3,8.9,2.66,1035,Cleveland Indians,.240,.313,.417,.730,.283,3.6%,23.3%,8.8%,88.8,40.6%,24.2%,42.5%,26.0%,0.75,3.2,1.1%,12.7,Cleveland Indians,4.49,,162,5968,5337,727,1281,266,16,216,63,23,522,1391,.240,.313,.417,.730,.283,2227,123,59,15,32,12,37,Cleveland Indians,4.49,49%,3.6%,23.3%,8.8%,14.6%,8.3%,39%,0.75,1.01,63%,24%,10.9%,12%,1101,123,11%,0,2021
Colorado Rockies,26,28.3,4.94,74,87,.460,4.82,161,161,158,3,6,1,33,1397.0,1397,796,748,196,539,19,1269,63,3,67,6044,100,4.47,1.386,9.0,1.3,3.5,8.2,2.35,1081,Colorado Rockies,.260,.332,.435,.767,.304,3.2%,21.0%,8.9%,88.0,38.1%,24.0%,44.3%,24.7%,0.82,-2.6,-1.8%,-23.3,Colorado Rockies,4.94,,161,6044,5377,796,1397,291,31,196,65,27,539,1269,.260,.332,.435,.767,.304,2338,127,63,28,36,19,35,Colorado Rockies,4.94,45%,3.2%,21.0%,8.9%,12.1%,8.6%,37%,0.82,1.20,65%,24%,9.7%,11%,1205,127,11%,0,2021
Detroit Tigers,29,27.3,4.67,77,85,.475,4.32,162,162,160,2,7,1,42,1419.2,1370,756,681,199,571,10,1259,82,3,80,6164,99,4.60,1.367,8.7,1.3,3.6,8.0,2.20,1174,Detroit Tigers,.252,.329,.419,.748,.290,3.2%,20.4%,9.3%,89.1,40.9%,22.6%,44.4%,25.5%,0.81,3.0,-0.5%,-13.5,Detroit Tigers,4.67,,162,6164,5447,756,1370,259,28,199,67,32,571,1259,.252,.329,.419,.748,.290,2282,119,82,15,47,10,40,Detroit Tigers,4.67,45%,3.2%,20.4%,9.3%,11.2%,7.9%,36%,0.81,1.05,65%,23%,9.9%,13%,1202,119,10%,0,2021
Houston Astros,32,28.7,4.06,95,67,.586,3.78,162,162,160,2,8,0,34,1445.0,1231,658,607,187,549,12,1456,70,4,72,6060,114,4.12,1.232,7.7,1.2,3.4,9.1,2.65,1092,Houston Astros,.228,.306,.382,.688,.276,3.1%,24.0%,9.1%,88.3,38.0%,22.6%,44.7%,25.1%,0.82,9.5,8.1%,109.1,Houston Astros,4.06,,162,6060,5389,658,1231,236,14,187,56,26,549,1456,.228,.306,.382,.688,.276,2056,107,70,21,31,12,34,Houston Astros,4.06,51%,3.1%,24.0%,9.1%,15.0%,7.2%,36%,0.82,1.08,62%,23%,10.0%,13%,1140,107,9%,0,2021
Kansas City Royals,30,27.9,4.86,74,88,.457,4.64,162,162,161,1,7,0,37,1417.1,1375,788,731,189,591,16,1344,62,9,86,6127,99,4.39,1.387,8.7,1.2,3.8,8.5,2.27,1101,Kansas City Royals,.254,.332,.415,.747,.302,3.1%,21.9%,9.7%,89.2,40.9%,24.8%,42.5%,25.4%,0.75,-3.2,-1.2%,-34.8,Kansas City Royals,4.86,,162,6127,5414,788,1375,259,24,189,41,24,591,1344,.254,.332,.415,.747,.302,2249,130,62,9,50,16,45,Kansas City Royals,4.86,41%,3.1%,21.9%,9.7%,12.3%,7.7%,34%,0.75,0.97,64%,25%,9.2%,12%,1265,130,10%,0,2021
Los Angeles Angels,41,28.6,4.96,77,85,.475,4.69,162,162,161,1,4,0,39,1421.2,1373,804,741,188,592,18,1453,76,11,56,6196,96,4.25,1.382,8.7,1.2,3.7,9.2,2.45,1141,Los Angeles Angels,.251,.330,.410,.740,.306,3.0%,23.5%,9.6%,87.6,38.2%,23.8%,44.4%,24.7%,0.81,0.5,-0.9%,-46.7,Los Angeles Angels,4.96,,162,6196,5475,804,1373,283,13,188,85,18,592,1453,.251,.330,.410,.740,.306,2246,119,76,13,38,18,43,Los Angeles Angels,4.96,48%,3.0%,23.5%,9.6%,13.9%,7.8%,35%,0.81,1.09,62%,24%,9.6%,12%,1213,119,10%,0,2021
Los Angeles Dodgers,39,28.8,3.46,106,56,.654,3.01,162,162,161,1,17,0,56,1452.0,1107,561,486,161,486,43,1599,63,9,52,5948,140,3.54,1.097,6.9,1.0,3.0,9.9,3.29,1063,Los Angeles Dodgers,.207,.280,.344,.624,.263,2.7%,26.9%,8.2%,86.3,34.8%,21.6%,43.9%,25.2%,0.81,22.6,15.2%,210.8,Los Angeles Dodgers,3.46,,162,5948,5335,561,1107,227,9,161,108,34,486,1599,.207,.280,.344,.624,.263,1835,84,63,36,24,43,54,Los Angeles Dodgers,3.46,46%,2.7%,26.9%,8.2%,18.7%,6.7%,36%,0.81,1.04,61%,22%,9.2%,16%,992,84,8%,0,2021
Miami Marlins,34,27.3,4.33,67,95,.414,3.96,162,162,161,1,8,0,33,1415.0,1282,701,622,162,529,43,1381,88,2,58,6027,107,4.01,1.280,8.2,1.0,3.4,8.8,2.61,1103,Miami Marlins,.241,.317,.401,.718,.292,2.7%,22.9%,8.8%,87.4,37.9%,23.5%,44.1%,24.7%,0.81,0.8,0.9%,25.0,Miami Marlins,4.33,,162,6027,5330,701,1282,305,31,162,61,23,529,1381,.241,.317,.401,.718,.292,2135,125,88,35,44,43,68,Miami Marlins,4.33,46%,2.7%,22.9%,8.8%,14.1%,8.3%,39%,0.81,1.08,64%,23%,8.4%,12%,1111,125,11%,0,2021
Milwaukee Brewers,38,28.1,3.85,95,67,.586,3.50,162,162,160,2,19,1,44,1436.0,1156,623,558,168,537,19,1618,77,9,60,5990,119,3.72,1.179,7.2,1.1,3.4,10.1,3.01,1084,Milwaukee Brewers,.218,.298,.358,.655,.278,2.8%,27.0%,9.0%,86.8,36.2%,23.2%,44.2%,24.8%,0.82,15.6,10.8%,122.2,Milwaukee Brewers,3.85,,162,5990,5300,623,1156,200,18,168,91,30,537,1618,.218,.298,.358,.655,.278,1896,92,77,39,34,19,43,Milwaukee Brewers,3.85,44%,2.8%,27.0%,9.0%,18.1%,6.4%,33%,0.82,1.05,59%,23%,9.4%,12%,1072,92,9%,0,2021
Minnesota Twins,35,29.8,5.15,73,89,.451,4.83,162,162,161,1,9,0,42,1419.1,1392,834,762,239,484,13,1317,62,3,48,6080,89,4.66,1.322,8.8,1.5,3.1,8.4,2.72,1017,Minnesota Twins,.255,.320,.449,.769,.292,3.9%,21.7%,8.0%,89.0,42.0%,23.6%,40.7%,27.9%,0.70,-3.0,-1.5%,-85.2,Minnesota Twins,5.15,,162,6080,5460,834,1392,301,22,239,80,26,484,1317,.255,.320,.449,.769,.292,2454,113,62,21,50,13,49,Minnesota Twins,5.15,49%,3.9%,21.7%,8.0%,13.7%,9.2%,40%,0.70,0.95,65%,24%,11.2%,13%,1100,113,10%,0,2021
New York Mets,42,29.5,4.12,77,85,.475,3.90,162,162,160,2,8,1,41,1379.1,1221,668,597,190,475,21,1453,70,1,53,5785,104,4.03,1.230,8.0,1.2,3.1,9.5,3.06,1005,New York Mets,.236,.307,.400,.707,.289,3.3%,25.1%,8.2%,87.8,38.7%,24.3%,42.1%,25.6%,0.75,5.6,4.0%,34.3,New York Mets,4.12,,162,5785,5175,668,1221,240,19,190,66,33,475,1453,.236,.307,.400,.707,.289,2069,107,70,27,33,21,40,New York Mets,4.12,49%,3.3%,25.1%,8.2%,16.9%,7.8%,37%,0.75,1.02,62%,24%,10.2%,12%,1050,107,10%,0,2021
New York Yankees,30,29.3,4.13,92,70,.568,3.74,162,162,159,3,13,2,47,1435.1,1243,669,596,196,492,10,1569,56,8,85,5999,115,3.90,1.209,7.8,1.2,3.1,9.8,3.19,1048,New York Yankees,.231,.299,.389,.688,.286,3.3%,26.2%,8.2%,87.4,36.7%,22.6%,41.9%,26.8%,0.73,9.7,8.4%,93.1,New York Yankees,4.13,,162,5999,5386,669,1243,232,15,196,86,17,492,1569,.231,.299,.389,.688,.286,2093,99,56,16,46,10,39,New York Yankees,4.13,47%,3.3%,26.2%,8.2%,18.0%,7.4%,36%,0.73,0.92,61%,23%,10.3%,15%,1054,99,9%,0,2021
Oakland Athletics,27,30.1,4.24,86,76,.531,4.02,162,162,159,3,11,3,39,1433.0,1362,687,640,191,439,11,1332,64,2,63,6060,103,4.10,1.257,8.6,1.2,2.8,8.4,3.03,1089,Oakland Athletics,.247,.309,.403,.711,.292,3.2%,22.0%,7.2%,88.3,38.2%,24.5%,40.0%,26.6%,0.68,2.7,2.1%,48.6,Oakland Athletics,4.24,,162,6060,5508,687,1362,247,18,191,65,22,439,1332,.247,.309,.403,.711,.292,2218,102,64,17,29,11,27,Oakland Athletics,4.24,45%,3.2%,22.0%,7.2%,14.7%,7.5%,34%,0.68,0.86,66%,25%,9.0%,14%,1095,102,9%,0,2021
Philadelphia Phillies,35,28.8,4.60,82,80,.506,4.39,162,162,157,5,12,4,36,1418.2,1321,745,692,200,509,37,1480,75,5,49,6055,96,4.15,1.290,8.4,1.3,3.2,9.4,2.91,1074,Philadelphia Phillies,.244,.316,.414,.730,.298,3.3%,24.4%,8.4%,87.0,37.0%,22.4%,45.3%,23.8%,0.85,-0.8,0.8%,-16.8,Philadelphia Phillies,4.60,,162,6055,5418,745,1321,265,28,200,51,15,509,1480,.244,.316,.414,.730,.298,2242,124,75,34,19,37,54,Philadelphia Phillies,4.60,47%,3.3%,24.4%,8.4%,16.0%,8.1%,37%,0.85,1.13,62%,22%,11.0%,15%,1096,124,11%,0,2021
Pittsburgh Pirates,38,27.4,5.14,61,101,.377,5.08,162,162,162,0,6,0,25,1396.1,1400,833,788,213,606,26,1312,78,5,55,6140,84,4.74,1.437,9.0,1.4,3.9,8.5,2.17,1128,Pittsburgh Pirates,.260,.341,.446,.787,.304,3.5%,21.4%,9.9%,88.1,38.4%,24.4%,40.8%,26.6%,0.70,-9.8,-0.1%,-116.0,Pittsburgh Pirates,5.14,,162,6140,5379,833,1400,298,32,213,66,19,606,1312,.260,.341,.446,.787,.304,2401,121,78,29,48,26,32,Pittsburgh Pirates,5.14,49%,3.5%,21.4%,9.9%,11.5%,8.8%,39%,0.70,0.96,64%,24%,10.1%,12%,1228,121,10%,0,2021
San Diego Padres,34,29.6,4.37,79,83,.488,4.10,162,162,160,2,11,2,43,1430.0,1277,708,651,205,516,33,1517,87,2,57,6056,95,4.18,1.254,8.0,1.3,3.2,9.5,2.94,1086,San Diego Padres,.237,.312,.410,.722,.290,3.4%,25.1%,8.5%,88.1,39.2%,22.8%,42.7%,26.7%,0.77,2.1,3.1%,10.9,San Diego Padres,4.37,,162,6056,5380,708,1277,273,21,205,88,18,516,1517,.237,.312,.410,.722,.290,2207,123,87,33,39,33,41,San Diego Padres,4.37,48%,3.4%,25.1%,8.5%,16.5%,8.2%,39%,0.77,1.07,61%,23%,10.6%,12%,1068,123,12%,0,2021
Seattle Mariners,38,28.0,4.62,90,72,.556,4.30,162,162,161,1,10,0,51,1440.1,1356,748,688,197,485,23,1328,69,3,58,6106,97,4.26,1.278,8.5,1.2,3.0,8.3,2.74,1065,Seattle Mariners,.247,.314,.417,.730,.289,3.2%,21.8%,7.9%,89.0,39.8%,23.8%,40.7%,27.3%,0.70,7.7,1.9%,-1.5,Seattle Mariners,4.62,,162,6106,5490,748,1356,288,26,197,91,17,485,1328,.247,.314,.417,.730,.289,2287,120,69,17,42,23,32,Seattle Mariners,4.62,45%,3.2%,21.8%,7.9%,13.8%,8.4%,38%,0.70,0.90,66%,24%,9.3%,14%,1125,120,11%,0,2021
San Francisco Giants,34,29.7,3.67,107,55,.660,3.24,162,162,160,2,18,2,56,1455.0,1254,594,524,151,416,20,1425,63,7,44,6002,128,3.55,1.148,7.8,0.9,2.6,8.8,3.43,1072,San Francisco Giants,.230,.291,.368,.658,.282,2.5%,23.7%,6.9%,87.7,38.9%,23.3%,45.1%,24.1%,0.85,18.3,13.4%,158.2,San Francisco Giants,3.67,,162,6002,5452,594,1254,239,29,151,53,20,416,1425,.230,.291,.368,.658,.282,2004,106,63,36,32,20,49,San Francisco Giants,3.67,47%,2.5%,23.7%,6.9%,16.8%,7.0%,33%,0.85,1.10,65%,23%,7.9%,12%,1077,106,10%,0,2021
St. Louis Cardinals,33,30.1,4.15,90,72,.556,3.98,162,162,159,3,15,1,50,1417.0,1234,672,626,152,608,30,1225,85,4,66,6046,99,4.30,1.300,7.8,1.0,3.9,7.8,2.01,1134,St. Louis Cardinals,.234,.320,.374,.695,.274,2.5%,20.3%,10.1%,87.9,37.7%,23.9%,43.8%,24.7%,0.80,8.6,4.5%,40.5,St. Louis Cardinals,4.15,,162,6046,5281,672,1234,252,17,152,43,23,608,1225,.234,.320,.374,.695,.274,1976,113,85,33,39,30,33,St. Louis Cardinals,4.15,45%,2.5%,20.3%,10.1%,10.2%,7.0%,34%,0.80,1.06,65%,24%,7.6%,12%,1253,113,9%,0,2021
Tampa Bay Rays,41,28.8,4.02,100,62,.617,3.67,162,162,161,1,13,0,42,1455.2,1264,651,593,184,436,27,1478,55,6,64,5998,111,3.79,1.168,7.8,1.1,2.7,9.1,3.39,1009,Tampa Bay Rays,.232,.294,.386,.680,.282,3.1%,24.6%,7.3%,87.9,37.4%,24.0%,41.4%,26.1%,0.72,11.8,8.5%,102.1,Tampa Bay Rays,4.02,,162,5998,5454,651,1264,244,23,184,69,22,436,1478,.232,.294,.386,.680,.282,2106,110,55,19,34,27,38,Tampa Bay Rays,4.02,46%,3.1%,24.6%,7.3%,17.4%,7.5%,36%,0.72,0.91,64%,24%,9.1%,13%,973,110,11%,0,2021
Texas Rangers,32,27.8,5.03,60,102,.370,4.79,162,162,162,0,3,0,31,1424.1,1402,815,758,232,513,11,1239,61,0,67,6103,93,4.76,1.344,8.9,1.5,3.2,7.8,2.42,1040,Texas Rangers,.256,.325,.436,.761,.290,3.8%,20.3%,8.4%,88.6,39.3%,24.3%,42.2%,25.8%,0.74,-3.9,0.0%,-60.6,Texas Rangers,5.03,,162,6103,5468,815,1402,249,19,232,74,17,513,1239,.256,.325,.436,.761,.290,2385,120,61,17,41,11,38,Texas Rangers,5.03,49%,3.8%,20.3%,8.4%,11.9%,8.2%,36%,0.74,0.99,66%,24%,10.9%,12%,1157,120,10%,0,2021
Toronto Blue Jays,38,29.1,4.09,91,71,.562,3.91,162,162,161,1,14,1,34,1405.1,1257,663,610,209,473,10,1468,75,4,54,5916,115,4.18,1.231,8.1,1.3,3.0,9.4,3.10,1054,Toronto Blue Jays,.236,.305,.407,.712,.284,3.5%,24.8%,8.0%,88.6,39.5%,23.2%,43.0%,25.6%,0.76,6.9,3.2%,92.5,Toronto Blue Jays,4.09,,162,5916,5337,663,1257,248,19,209,73,22,473,1468,.236,.305,.407,.712,.284,2170,108,75,7,24,10,50,Toronto Blue Jays,4.09,43%,3.5%,24.8%,8.0%,16.8%,8.1%,38%,0.76,1.03,62%,23%,11.0%,13%,1047,108,10%,0,2021
Washington Nationals,33,30.1,5.06,65,97,.401,4.80,162,162,161,1,8,0,36,1394.1,1364,820,743,247,548,46,1346,71,1,43,6073,84,4.87,1.371,8.8,1.6,3.5,8.7,2.46,1087,Washington Nationals,.254,.329,.447,.776,.293,4.1%,22.2%,9.0%,87.9,39.8%,23.0%,40.6%,27.5%,0.71,-14.0,-2.2%,-119.8,Washington Nationals,5.06,,162,6073,5361,820,1364,251,19,247,90,32,548,1346,.254,.329,.447,.776,.293,2394,96,71,48,41,46,53,Washington Nationals,5.06,44%,4.1%,22.2%,9.0%,13.1%,8.5%,38%,0.71,0.96,63%,23%,12.1%,13%,1131,96,8%,0,2021
Arizona Diamondbacks,33,30.0,4.57,74,88,.457,4.25,162,162,162,0,10,0,33,1430.0,1345,740,676,191,504,18,1216,59,3,51,6065,95,4.33,1.293,8.5,1.2,3.2,7.7,2.41,1051,Arizona Diamondbacks,.247,.315,.414,.729,.283,3.2%,20.1%,8.3%,88.1,38.6%,24.5%,39.6%,28.3%,0.67,-5.1,-1.4%,-35.9,Arizona Diamondbacks,4.57,,162,6065,5445,740,1345,290,22,191,84,32,504,1216,.247,.315,.414,.729,.283,2252,107,59,13,40,18,37,Arizona Diamondbacks,4.57,48%,3.2%,20.1%,8.3%,11.7%,8.3%,37%,0.67,0.86,67%,25%,8.5%,12%,1096,107,10%,0,2022
Atlanta Braves,32,30.0,3.76,101,61,.623,3.46,162,162,161,1,9,1,55,1448.0,1224,609,556,148,500,21,1554,62,4,55,6031,121,3.46,1.191,7.6,0.9,3.1,9.7,3.11,1101,Atlanta Braves,.226,.297,.354,.651,.286,2.5%,25.8%,8.3%,87.7,37.2%,23.7%,43.3%,25.2%,0.78,13.6,9.6%,118.8,Atlanta Braves,3.76,,162,6031,5413,609,1224,218,16,148,82,22,500,1554,.226,.297,.354,.651,.286,1918,99,62,9,46,21,31,Atlanta Braves,3.76,45%,2.5%,25.8%,8.3%,17.5%,6.3%,31%,0.78,1.03,62%,24%,7.8%,14%,1101,99,9%,0,2022
Baltimore Orioles,36,27.7,4.25,83,79,.512,3.97,162,162,160,2,15,1,46,1433.1,1406,688,632,171,443,8,1214,64,4,47,6058,100,4.03,1.290,8.8,1.1,2.8,7.6,2.74,1092,Baltimore Orioles,.256,.317,.407,.724,.297,2.8%,20.0%,7.3%,88.4,39.1%,24.5%,42.9%,25.1%,0.76,4.7,1.5%,11.8,Baltimore Orioles,4.25,,162,6058,5490,688,1406,289,14,171,52,24,443,1214,.256,.317,.407,.724,.297,2236,134,64,8,47,8,43,Baltimore Orioles,4.25,56%,2.8%,20.0%,7.3%,12.7%,7.8%,34%,0.76,1.01,69%,24%,8.0%,13%,1151,134,12%,0,2022
Boston Red Sox,33,30.2,4.86,78,84,.481,4.53,162,162,157,5,10,2,39,1431.0,1411,787,721,185,526,17,1346,72,8,60,6167,93,4.17,1.354,8.9,1.2,3.3,8.5,2.56,1109,Boston Red Sox,.256,.326,.419,.745,.304,3.0%,21.8%,8.5%,88.8,40.5%,24.3%,42.7%,24.6%,0.75,0.2,0.2%,-70.8,Boston Red Sox,4.86,,162,6167,5517,787,1411,292,27,185,102,28,526,1346,.256,.326,.419,.745,.304,2312,116,72,7,45,17,35,Boston Red Sox,4.86,53%,3.0%,21.8%,8.5%,13.3%,8.2%,36%,0.75,1.00,65%,24%,9.0%,14%,1157,116,10%,0,2022
Chicago Cubs,43,29.5,4.51,74,88,.457,4.00,162,162,162,0,11,0,44,1443.2,1342,731,642,207,540,19,1383,73,8,53,6162,102,4.33,1.304,8.4,1.3,3.4,8.6,2.56,1130,Chicago Cubs,.244,.318,.414,.731,.287,3.4%,22.4%,8.8%,87.9,38.3%,23.7%,43.2%,25.6%,0.77,4.5,-0.5%,-3.5,Chicago Cubs,4.51,,162,6162,5506,731,1342,257,29,207,77,32,540,1383,.244,.318,.414,.731,.287,2278,119,73,5,35,19,44,Chicago Cubs,4.51,47%,3.4%,22.4%,8.8%,13.7%,8.0%,37%,0.77,1.03,64%,24%,10.2%,13%,1145,119,10%,0,2022
Chicago White Sox,24,29.6,4.43,81,81,.500,3.92,162,162,160,2,14,1,48,1447.2,1330,717,631,166,533,15,1450,51,6,64,6145,101,3.81,1.287,8.3,1.0,3.3,9.0,2.72,1110,Chicago White Sox,.242,.312,.387,.699,.296,2.7%,23.6%,8.7%,88.2,38.1%,23.8%,41.3%,26.9%,0.71,2.3,0.2%,-8.2,Chicago White Sox,4.43,,162,6145,5498,717,1330,264,18,166,96,26,533,1450,.242,.312,.387,.699,.296,2128,101,51,14,47,15,44,Chicago White Sox,4.43,52%,2.7%,23.6%,8.7%,14.9%,7.3%,34%,0.71,0.90,64%,24%,8.0%,13%,1130,101,9%,0,2022
Cincinnati Reds,38,27.9,5.03,62,100,.383,4.86,162,162,161,1,6,1,31,1423.1,1366,815,768,213,612,21,1414,110,5,58,6220,93,4.59,1.390,8.6,1.3,3.9,8.9,2.31,1152,Cincinnati Reds,.251,.336,.429,.766,.299,3.4%,22.7%,9.8%,88.3,38.9%,23.4%,40.6%,27.1%,0.69,-4.5,-1.3%,-74.0,Cincinnati Reds,5.03,,162,6220,5439,815,1366,284,23,213,122,31,612,1414,.251,.336,.429,.766,.299,2335,98,110,11,47,21,22,Cincinnati Reds,5.03,47%,3.4%,22.7%,9.8%,12.9%,8.4%,38%,0.69,0.85,62%,23%,10.5%,15%,1244,98,8%,0,2022
